style,name,alpha_acid,substitutions,description
American Amber & Pale Ale,Ahtanum™,4-6.3%,"Amarillo, Cascade","Floral, citrus, sharp, and piney."
American Amber & Pale Ale,Amarillo®,8-9%,"Cascade, Centennial","Citrusy, flowery."
American Amber & Pale Ale,Apollo,15-19%,Zeus,A high alpha acid varietal known for its disease resistance.
American Amber & Pale Ale,Azacca® (U.S.),14-16%,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple."
American Amber & Pale Ale,Boadicea (U.K.),8-9%,,spicy
American Amber & Pale Ale,Bravo,14-17%,"Apollo, Zeus",
American Amber & Pale Ale,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
American Amber & Pale Ale,Cascade (New Zealand),6-8%,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character."
American Amber & Pale Ale,Cashmere (U.S.),7.7-9.1%,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits."
American Amber & Pale Ale,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
American Amber & Pale Ale,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
American Amber & Pale Ale,Citra® (U.S.),11-13%,,Intense citrusy flavor.
American Amber & Pale Ale,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
American Amber & Pale Ale,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
American Amber & Pale Ale,Comet (U.S.),9-11%,,"Grapefruit, lemon, orange, and grassy notes."
American Amber & Pale Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
American Amber & Pale Ale,Eureka!,17-19%,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions."
American Amber & Pale Ale,Galaxy® (Australia),11-16%,,"When used as a late addition or dry hopped, it contributes a pungent flavor of passionfruit and citrus."
American Amber & Pale Ale,Galena,10-14%,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy."
American Amber & Pale Ale,Glacier (U.S.),5-9%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.
